RecordID,ClubName,League/Country,BootsName,BootsMaterial,BootsBrand,BootsPack,BootsType,BootsPosition,BootsTopPlayers,PlayerName,PlayerPosition,PlayerNationality,PlayerMarketValue,,,,
1679742361-370,FC Augsburg,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Iago,Left Back,Brazil,€6 million,,,,
1679742361-380,FC Augsburg,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Benjamin Leneis,Goalkeeper,Germany,€0 million,,,,
1679742361-385,Bayer 04 Leverkusen,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Callum Hudson-Odoi,Left Winger,England,€25 million,,,,
1679742361-387,Bayer 04 Leverkusen,Bundesliga,X Speedflow.1,Synthetic,adidas,Diamond Edge,Speed,Attack,Lionel Messi,Moussa Diaby,Right Winger,France,€50 million,,,,
1679742361-392,Bayer 04 Leverkusen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Exequiel Palacios,Central Midfielder,Argentina,€15 million,,,,
1679742361-395,Bayer 04 Leverkusen,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Florian Wirtz,Attacking Midfielder,Germany,€70 million,,,,
1679742361-398,Bayer 04 Leverkusen,Bundesliga,Copa Pure.1,Fusionskin,adidas,Own Your Football,Control,Midfield,Paulo Dybala,Jonathan Tah,Center Back,Germany,€20 million,,,,
1679742361-401,Bayer 04 Leverkusen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Mitchel Bakker,Left Back,Netherlands,€9 million,,,,
1679742361-404,Bayer 04 Leverkusen,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Piero Hincapié,Center Back,Ecuador,€25 million,,,,
1679742361-411,RB Leipzig,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Christopher Nkunku,Supporting Striker,France,€80 million,,,,
1679742361-412,RB Leipzig,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Timo Werner,Center Forward,Germany,€25 million,,,,
1679742361-415,RB Leipzig,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Kevin Kampl,Central Midfielder,Slovenia,€5 million,,,,
1679742361-418,RB Leipzig,Bundesliga,Copa 20.1,Fusionskin,adidas,null,Control,Midfield,Paulo Dybala,Xaver Schlager,Central Midfielder,Austria,€22 million,,,,
1679742361-420,RB Leipzig,Bundesliga,F50 Adizero IV Leather,Leather,adidas,Speed Legacy,Speed,Attack,Jordi Alba,Dani Olmo,Attacking Midfielder,Spain,€40 million,,,,
1679742361-422,RB Leipzig,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Benjamin Henrichs,Right Back,Germany,€15 million,,,,
1679742361-429,RB Leipzig,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Josko Gvardiol,Center Back,Croatia,€75 million,,,,
1679742361-434,RB Leipzig,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Janis Blaswich,Goalkeeper,Germany,€1 million,,,,
1679742361-435,RB Leipzig,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Péter Gulácsi,Goalkeeper,Hungary,€6 million,,,,
1679742361-438,Eintracht Frankfurt,Bundesliga,X Speedportal.1,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Lucas Alario,Center Forward,Argentina,€6 million,,,,
1679742361-441,Eintracht Frankfurt,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Randal Kolo Muani,Center Forward,France,€37 million,,,,
1679742361-443,Eintracht Frankfurt,Bundesliga,Predator Accuracy.1 Low,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Marcel Wenig,Central Midfielder,Germany,€1 million,,,,
1679742361-444,Eintracht Frankfurt,Bundesliga,Predator Accuracy.1,Primeknit,adidas,Own Your Football,Control,Midfield,Jude Bellingham,Kristijan Jakic,Defensive Midfielder,Croatia,€9 million,,,,
1679742361-450,Eintracht Frankfurt,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Junior Dina Ebimbe,Right Midfielder,France,€8 million,,,,
1679742361-451,Eintracht Frankfurt,Bundesliga,Nemeziz.1,Knit,adidas,null,Agility,Attack,Evan Ferguson,Jesper Lindström,Attacking Midfielder,Denmark,€28 million,,,,
1679742361-454,Eintracht Frankfurt,Bundesliga,X Speedportal+,Speedskin,adidas,Own Your Football,Speed,Attack,Lionel Messi,Christopher Lenz,Left Back,Germany,€5 million,,,,
