Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs)
47,2012 (2004),1,Andhra Pradesh,West Godavari,55456,117187,29.93,34.88,39085,69090,21.09,20.56,90756,149728,48.98,44.56,185296,336005,85
47,2013 (2004),1,Andhra Pradesh,West Godavari,57317,130673,29.82,34.75,39809,73949,20.71,19.67,95065,171384,49.46,45.58,192191,376007,95
48,2007 (2004),1,Andhra Pradesh,Krishna,42351,50218,25.9,25.98,36836,46627,22.52,24.12,84356,96437,51.58,49.89,163542,193282,44
48,2008 (2004),1,Andhra Pradesh,Krishna,43705,58776,25.12,26.04,39908,56401,22.94,24.99,90387,110552,51.95,48.98,174000,225729,51
48,2009 (2004),1,Andhra Pradesh,Krishna,46553,70344,25.19,27.35,41128,61247,22.25,23.81,97132,125655,52.56,48.85,184813,257246,58
48,2010 (2004),1,Andhra Pradesh,Krishna,52930,93375,25.49,29.29,44447,73692,21.4,23.12,110297,151725,53.11,47.59,207674,318792,71
48,2011 (2004),1,Andhra Pradesh,Krishna,53597,97348,24.23,27.23,50555,88550,22.86,24.77,117028,171541,52.91,47.99,221179,357439,79
48,2012 (2004),1,Andhra Pradesh,Krishna,57149,113238,24.71,27.92,50814,96549,21.97,23.81,123349,195760,53.33,48.27,231312,405547,89
48,2013 (2004),1,Andhra Pradesh,Krishna,60397,128335,25.02,28.2,51782,104101,21.45,22.87,129254,222683,53.54,48.93,241433,455118,99
49,2007 (2004),1,Andhra Pradesh,Guntur,57738,70407,30.7,31.28,46465,58093,24.71,25.81,83848,96603,44.59,42.91,188051,225104,48
49,2008 (2004),1,Andhra Pradesh,Guntur,56855,79185,29.11,30.83,49250,67826,25.22,26.41,89201,109822,45.67,42.76,195305,256833,54
49,2009 (2004),1,Andhra Pradesh,Guntur,56956,89253,27.87,31.07,50706,72896,24.82,25.38,96665,125108,47.31,43.55,204328,287257,60
49,2010 (2004),1,Andhra Pradesh,Guntur,53374,98151,24.21,29.02,56153,88036,25.47,26.02,110937,152090,50.32,44.96,220464,338276,70
49,2011 (2004),1,Andhra Pradesh,Guntur,52510,100407,22.24,26.32,65498,108490,27.74,28.44,118131,172623,50.03,45.25,236138,381520,78
49,2012 (2004),1,Andhra Pradesh,Guntur,54934,115634,22.47,27,64579,115312,26.41,26.92,125007,197406,51.12,46.08,244520,428352,87
49,2013 (2004),1,Andhra Pradesh,Guntur,56985,129387,22.46,27.2,65073,121634,25.65,25.57,131685,224620,51.9,47.22,253742,475640,95
