uniqueID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album_name,release_date,album_id
119,0.483,0.621,2,-8.602,1,0.0393,0.267,0.0284,0.472,0.172,158.001,audio_features,5JpSjNcjuP8L9QrYmv3xcn,spotify:track:5JpSjNcjuP8L9QrYmv3xcn,https://api.spotify.com/v1/tracks/5JpSjNcjuP8L9QrYmv3xcn,https://api.spotify.com/v1/audio-analysis/5JpSjNcjuP8L9QrYmv3xcn,349033,4,Lonely Star - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
120,0.596,0.553,2,-7.96,1,0.0269,0.00294,0.00148,0.595,0.516,138.107,audio_features,6eJbjaoLRlfwrfWpeS6alF,spotify:track:6eJbjaoLRlfwrfWpeS6alF,https://api.spotify.com/v1/tracks/6eJbjaoLRlfwrfWpeS6alF,https://api.spotify.com/v1/audio-analysis/6eJbjaoLRlfwrfWpeS6alF,296286,4,Life Of The Party - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
121,0.26,0.491,0,-8.059,0,0.0501,0.476,0.0263,0.0558,0.207,179.327,audio_features,0l1p13Fbujayv894H0hfpS,spotify:track:0l1p13Fbujayv894H0hfpS,https://api.spotify.com/v1/tracks/0l1p13Fbujayv894H0hfpS,https://api.spotify.com/v1/audio-analysis/0l1p13Fbujayv894H0hfpS,320004,3,Thursday - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
122,0.654,0.383,3,-9.875,0,0.0363,0.129,0.000755,0.103,0.268,139.95,audio_features,53qYItjefG5SUf62428dIw,spotify:track:53qYItjefG5SUf62428dIw,https://api.spotify.com/v1/tracks/53qYItjefG5SUf62428dIw,https://api.spotify.com/v1/audio-analysis/53qYItjefG5SUf62428dIw,418057,4,The Zone - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
123,0.56,0.586,0,-7.382,0,0.0351,0.00176,0,0.0838,0.171,127.873,audio_features,5SF1kcOiOmtZFUIQNGC4TC,spotify:track:5SF1kcOiOmtZFUIQNGC4TC,https://api.spotify.com/v1/tracks/5SF1kcOiOmtZFUIQNGC4TC,https://api.spotify.com/v1/audio-analysis/5SF1kcOiOmtZFUIQNGC4TC,214516,4,The Birds Pt. 1 - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
124,0.278,0.564,9,-7.61,0,0.0357,0.459,9.40E-06,0.256,0.177,78.639,audio_features,2yYDijitHN6psA2tH0ndXs,spotify:track:2yYDijitHN6psA2tH0ndXs,https://api.spotify.com/v1/tracks/2yYDijitHN6psA2tH0ndXs,https://api.spotify.com/v1/audio-analysis/2yYDijitHN6psA2tH0ndXs,350584,3,The Birds Pt. 2 - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
125,0.473,0.478,0,-10.258,0,0.091,0.425,0.000232,0.0629,0.262,109.371,audio_features,7xgYvziLsxNd0UznaEw8Oi,spotify:track:7xgYvziLsxNd0UznaEw8Oi,https://api.spotify.com/v1/tracks/7xgYvziLsxNd0UznaEw8Oi,https://api.spotify.com/v1/audio-analysis/7xgYvziLsxNd0UznaEw8Oi,486426,4,Gone - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
126,0.678,0.352,8,-12.019,0,0.0317,0.536,5.29E-05,0.11,0.397,129.92,audio_features,4dXnS1YXBkn4oAIxRLPJcK,spotify:track:4dXnS1YXBkn4oAIxRLPJcK,https://api.spotify.com/v1/tracks/4dXnS1YXBkn4oAIxRLPJcK,https://api.spotify.com/v1/audio-analysis/4dXnS1YXBkn4oAIxRLPJcK,230784,4,Rolling Stone - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
127,0.53,0.699,11,-8.558,0,0.063,0.0128,0.000152,0.0865,0.212,125.055,audio_features,5JQ5Acrgv1VrO9UtMUN052,spotify:track:5JQ5Acrgv1VrO9UtMUN052,https://api.spotify.com/v1/tracks/5JQ5Acrgv1VrO9UtMUN052,https://api.spotify.com/v1/audio-analysis/5JQ5Acrgv1VrO9UtMUN052,353732,4,Heaven Or Las Vegas - Original,Thursday (Original),18-08-11,6F87lH0I09qlrzvCCKc7lz
128,0.466,0.403,4,-10.441,0,0.0502,0.59,9.51E-05,0.1,0.0967,75.033,audio_features,2ye9iWj5V4g6k6HFeTTAKa,spotify:track:2ye9iWj5V4g6k6HFeTTAKa,https://api.spotify.com/v1/tracks/2ye9iWj5V4g6k6HFeTTAKa,https://api.spotify.com/v1/audio-analysis/2ye9iWj5V4g6k6HFeTTAKa,249102,4,High For This - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
129,0.638,0.335,7,-10.522,0,0.0854,0.505,0.0139,0.116,0.0608,133.853,audio_features,4Yw8TyBm9J8cpy2guHUYog,spotify:track:4Yw8TyBm9J8cpy2guHUYog,https://api.spotify.com/v1/tracks/4Yw8TyBm9J8cpy2guHUYog,https://api.spotify.com/v1/audio-analysis/4Yw8TyBm9J8cpy2guHUYog,206421,4,What You Need - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
130,0.662,0.511,0,-8.419,1,0.0342,0.00237,0.0036,0.275,0.228,88.989,audio_features,2r7BPog74oaTG5shNYiUnV,spotify:track:2r7BPog74oaTG5shNYiUnV,https://api.spotify.com/v1/tracks/2r7BPog74oaTG5shNYiUnV,https://api.spotify.com/v1/audio-analysis/2r7BPog74oaTG5shNYiUnV,407316,4,House Of Balloons / Glass Table Girls - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
131,0.682,0.51,6,-9.987,0,0.0441,0.143,4.46E-06,0.0797,0.191,120.097,audio_features,4jBfUB4kQJCWOrjGLQqhO0,spotify:track:4jBfUB4kQJCWOrjGLQqhO0,https://api.spotify.com/v1/tracks/4jBfUB4kQJCWOrjGLQqhO0,https://api.spotify.com/v1/audio-analysis/4jBfUB4kQJCWOrjGLQqhO0,314110,4,The Morning - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
132,0.606,0.57,9,-6.684,1,0.032,0.0217,8.47E-06,0.301,0.258,114.033,audio_features,00aqkszH1FdUiJJWvX6iEl,spotify:track:00aqkszH1FdUiJJWvX6iEl,https://api.spotify.com/v1/tracks/00aqkszH1FdUiJJWvX6iEl,https://api.spotify.com/v1/audio-analysis/00aqkszH1FdUiJJWvX6iEl,325305,4,Wicked Games - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
133,0.645,0.58,5,-9.527,0,0.0406,0.22,0,0.0878,0.163,101.733,audio_features,0GROiXm03OrMC5ltXLhGIu,spotify:track:0GROiXm03OrMC5ltXLhGIu,https://api.spotify.com/v1/tracks/0GROiXm03OrMC5ltXLhGIu,https://api.spotify.com/v1/audio-analysis/0GROiXm03OrMC5ltXLhGIu,459660,4,The Party & The After Party - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
134,0.694,0.649,2,-5.262,0,0.0353,0.303,2.41E-05,0.206,0.344,120.973,audio_features,3mHO1J6kfiArjBo1zhLFGP,spotify:track:3mHO1J6kfiArjBo1zhLFGP,https://api.spotify.com/v1/tracks/3mHO1J6kfiArjBo1zhLFGP,https://api.spotify.com/v1/audio-analysis/3mHO1J6kfiArjBo1zhLFGP,295435,4,Coming Down - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
135,0.257,0.443,6,-9.998,0,0.0921,0.49,0.00049,0.219,0.112,77.528,audio_features,2yBz1hupoOBncorzuKcJ2z,spotify:track:2yBz1hupoOBncorzuKcJ2z,https://api.spotify.com/v1/tracks/2yBz1hupoOBncorzuKcJ2z,https://api.spotify.com/v1/audio-analysis/2yBz1hupoOBncorzuKcJ2z,363057,4,Loft Music - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
136,0.454,0.668,6,-5.821,0,0.03,0.205,0.000841,0.0938,0.168,85.994,audio_features,6tjsbysvZh8Pq8DZA5ldrn,spotify:track:6tjsbysvZh8Pq8DZA5ldrn,https://api.spotify.com/v1/tracks/6tjsbysvZh8Pq8DZA5ldrn,https://api.spotify.com/v1/audio-analysis/6tjsbysvZh8Pq8DZA5ldrn,342829,4,The Knowing - Original,House Of Balloons (Original),21-03-11,7zCODUHkfuRxsUjtuzNqbd
